investment_id,name,operator,v_nom,lat,lon,cod_year,commitment,source
7646,Neubau UA RZ Kelsterbach,Syna,110,50.0781,8.5372,2026,safe,VNB Netzausbauplan (NAP 2024)
7647,Neubau RZ FRA4.2,Syna,110,,,2028,firm,VNB Netzausbauplan (NAP 2024)
7652,Neubau UA RZ Gewerbegebiet Nord,Syna,110,48.72,7.9981,2027,firm,VNB Netzausbauplan (NAP 2024)
7653,Neubau UA RZ Liederbach,Syna,110,50.1258,8.5089,2028,firm,VNB Netzausbauplan (NAP 2024)
7662,Neubau UA Sossenheim RZ FRA6,Syna,110,50.1173,8.5631,2028,firm,VNB Netzausbauplan (NAP 2024)
7667,Neubau SST Eschhofen,Syna,110,49.1731,9.957,2028,firm,VNB Netzausbauplan (NAP 2024)
7669,Neubau SST Niederselters Nord,Syna,110,49.1731,9.957,2028,firm,VNB Netzausbauplan (NAP 2024)
7672,Neubau SST Ilsfeld,Syna,110,49.0667,9.2665,2028,firm,VNB Netzausbauplan (NAP 2024)
7673,Neubau SST Kirchberg/Zwingelshausen,Syna,110,49.9549,7.4051,2028,firm,VNB Netzausbauplan (NAP 2024)
7732,"UW Zschopau, Neubau",MITNETZ Strom,110,50.7432,13.0719,2028,firm,VNB Netzausbauplan (NAP 2024)
7741,UW Annaberg/Ost; Neubau,MITNETZ Strom,110,51.5513,6.5737,2027,firm,VNB Netzausbauplan (NAP 2024)
7742,UW Schkeuditz/West; Neubau HS/MS-UW,MITNETZ Strom,110,51.3981,12.2114,2027,firm,VNB Netzausbauplan (NAP 2024)
7757,UW Drebkau; Neubau HS/MS-UW,MITNETZ Strom,110,51.6712,14.1139,2028,firm,VNB Netzausbauplan (NAP 2024)
7788,Neubau UA Schwabach Süd,N-ERGIE Netz,110,49.3381,10.998,2027,firm,VNB Netzausbauplan (NAP 2024)
7789,"Neubau UA Altentrüdingen,",N-ERGIE Netz,110,49.0627,10.6177,2026,firm,VNB Netzausbauplan (NAP 2024)
7808,Sammler Umspannwerk HS-MS Neubau Umspannanlage,N-ERGIE Netz,110,,,2028,firm,VNB Netzausbauplan (NAP 2024)
7973,UW Forchheim-West - Neubau Umspannwerk,Bayernwerk Netz,110,49.7017,11.0383,2026,firm,VNB Netzausbauplan (NAP 2024)
8326,UW Suchraum Ost,LEW Verteilnetz,110,,,2027,firm,VNB Netzausbauplan (NAP 2024)
8374,UW Suchraum Donauried,LEW Verteilnetz,110,48.5189,10.531,2027,firm,VNB Netzausbauplan (NAP 2024)
8635,Neubau UW (Suchraum Wolgast),E.DIS Netz,110,54.0536,13.7758,2028,firm,VNB Netzausbauplan (NAP 2024)
8652,Neubau UW (Suchraum Riekdahl),E.DIS Netz,110,54.0916,12.1863,2028,firm,VNB Netzausbauplan (NAP 2024)
8680,Neubau UW (Suchraum Hohen Neuendorf),E.DIS Netz,110,52.6733,13.2807,2028,firm,VNB Netzausbauplan (NAP 2024)
8692,Neubau UW (Suchraum Dahlwitz-Hoppegarten),E.DIS Netz,110,52.5155,13.6685,2028,firm,VNB Netzausbauplan (NAP 2024)
8695,Neubau UW (Suchraum Blumberg),E.DIS Netz,110,52.6024,13.6172,2028,firm,VNB Netzausbauplan (NAP 2024)
8705,Neubau UW (Suchraum Stralsund),E.DIS Netz,110,54.3096,13.0821,2028,firm,VNB Netzausbauplan (NAP 2024)
8711,Neubau UW (Suchraum Schönefeld),E.DIS Netz,110,52.3886,13.5048,2028,firm,VNB Netzausbauplan (NAP 2024)
8715,Neubau UW (Suchraum Oranienburg),E.DIS Netz,110,52.7529,13.2458,2028,firm,VNB Netzausbauplan (NAP 2024)
8716,Neubau UW (Suchraum Neubrandenburg),E.DIS Netz,110,53.5574,13.2603,2028,firm,VNB Netzausbauplan (NAP 2024)
8721,Neubau UW (Suchraum Neuruppin),E.DIS Netz,110,52.9244,12.8093,2027,firm,VNB Netzausbauplan (NAP 2024)
8726,Neubau UW (Suchraum Knieper),E.DIS Netz,110,54.3256,13.0668,2027,firm,VNB Netzausbauplan (NAP 2024)
8735,Neubau UW (Suchraum Finkenheerd),E.DIS Netz,110,52.249,14.567,2026,firm,VNB Netzausbauplan (NAP 2024)
8736,Neubau UW (Suchraum Eisenhüttenstadt),E.DIS Netz,110,52.1449,14.6294,2027,firm,VNB Netzausbauplan (NAP 2024)
8743,Neubau UW (Suchraum Selchow),E.DIS Netz,110,52.3576,13.4722,2027,firm,VNB Netzausbauplan (NAP 2024)
8745,Neubau UW (Suchraum Hennigsdorf),E.DIS Netz,110,52.6376,13.2058,2026,firm,VNB Netzausbauplan (NAP 2024)
8747,Neubau UW (Suchraum Germendorf),E.DIS Netz,110,52.7492,13.1746,2026,firm,VNB Netzausbauplan (NAP 2024)
8750,Neubau UW (Suchraum Torgelow),E.DIS Netz,110,53.6304,14.0113,2028,firm,VNB Netzausbauplan (NAP 2024)
8751,Neubau UW (Suchraum Teltow),E.DIS Netz,110,52.3806,13.2685,2027,firm,VNB Netzausbauplan (NAP 2024)
8752,Neubau UW (Suchraum Beeskow),E.DIS Netz,110,52.1722,14.2471,2027,firm,VNB Netzausbauplan (NAP 2024)
10088,UW Aiterhofen - Neubau Umspannwerk,Bayernwerk Netz,110,48.8457,12.6195,2028,firm,VNB Netzausbauplan (NAP 2024) Maßnahmentabelle
10094,UW Aßling - Neubau Umspannwerk,Bayernwerk Netz,110,47.9928,12.0058,2028,firm,VNB Netzausbauplan (NAP 2024) Maßnahmentabelle
10096,UW Bad Feilnbach - Neubau Umspannwerk,Bayernwerk Netz,110,47.5082,12.1117,2028,firm,VNB Netzausbauplan (NAP 2024) Maßnahmentabelle
